comment,nickname,rank,tilte
用个运营这种语焉不详的来糊弄观众，真是和当初那些拿着*奶当借口给自己垃圾的分析水平洗地一模一样。 ,中华奇迹憋,11,为什么运营这个说法很蠢
这词是让人反感          ,kubixbgo,15,为什么运营这个说法很蠢
小九月能不能发一波金币,邪颚泰迪,14,公告
好的好的，过年了晚上还审核吗,一言不合,24,公告
你不爱神，但神爱世人,Diekiller,22,pis到底能不能称得上p神
pis一片微博就能震慑老陈，称呼为P神过分吗,脸肿了么,21,pis到底能不能称得上p神
笑了笑了,sanlrb@sina.com,23,失落，但是宝宝坚强并不说
三月份qiang毙名单有了,别TM跟我来这套,20,失落，但是宝宝坚强并不说
我他妈又不是傻逼～,ご_Chase,22,如果婚后发现老婆是les 你会离婚吗
谁离谁sb吧,neokx,21,如果婚后发现老婆是les 你会离婚吗
我他妈又不是傻逼～,你这瓜甜不,14,如果婚后发现老婆是les 你会离婚吗
版主权限，正是版主权利的体现，发个小红花 (,Ed___,12,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
我永远喜欢谢俊豪,eurus,14,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
进去吧你,brotherbear,15,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
这是真的，这不是梦,三万希婆一秒躺,21,斗鱼这是在打压窝大枫皇？
石锤了 造谣无敌是威风八面工作室成员,zhhzh0123,21,斗鱼这是在打压窝大枫皇？
这是真的，这不是梦,Diekiller,22,斗鱼这是在打压窝大枫皇？
职业选手解说基本不会提到这个东西，最早用的应该是火猫那几个解说,痛经侍女,22,为什么运营这个说法很蠢
这词是让人反感,少女的黑丝,15,为什么运营这个说法很蠢
道理是这么个道理，带线就是带线，鳖就是鳖。,小19,25,为什么运营这个说法很蠢
 ,sandya24,23,公告
可以可以,最后三个月,22,公告
阔以阔以,Pis喜当爹,20,公告
vgj最近的崛起再次证明了一个团结的退伍氛围可以大大提高队伍的下限我们来对比一下现在vgj和老dk的人员配置DK-----队伍核心B神，中单老实人肉包子，列单我B熊弟rotk，酱油我b老队友357/longdd，买饭的老实人周雄。整个队伍以b神为核心，老怼长为话筒，深入贯彻B神一个中心，肉包子和老怼长两个抗压点的战术思想，整个队伍紧紧抱在b神这个大腿的周围，打出了11年9冠王的成绩。然后看看vgj核心塞拉，中单儿子苏畅，列单rotk，这个列单名字叫皮鞋，其实他是rotk，然后酱油新人fade，老实人ddc。整个队伍在几个月的磨合之后完全确立了以赛老师为核心，中单肉核放养，列单自生自灭，酱油跟着赛老师玩的战术体系。虽然队伍中有苏畅和皮鞋两个刺头，但是在rotk的威严（音量）之下，皮鞋已经完全怼化，曾经一度膨胀到要打劣势路carry的皮鞋现在完全认清了自己的定位，老老实实打功能3。苏畅更是在sg的高压教育之下学会了低调做人，跟着赛老师划的开开心心。而塞拉也不负众望，凭借这不错的英雄池和版本强势绝活英雄最近几场打出了超级大腿的表现。而然我还是要说一句，这种打发能提高队伍下限，但是上限也很明显，那就是完全取决于大腿塞拉的表现。而根据以往的经验，塞拉是一个下限有余而上限不足的选手，他的反例就是核桃，但是核桃有大木扛着，扛出了一个ti，塞拉必须有人帮他冲锋，目前这个人还看不到。至于塞拉是否能突破自我，按成本质的进化成为一个冠军级别的大腿，或是vgj能有人站出来兑现天赋，只能师母已待了,Swjtu_sm.Lin,22,有一说一，这个VGJ有点像11年的老dk啊
头像是lei个男人 ,jytow0716,23,566收到组队邀请：我和半仙掉水里，你救谁？
你不爱神，但神爱世人,hxkusher,22,pis到底能不能称得上p神
你不爱神，但神爱世人,hercMoray,22,pis到底能不能称得上p神
一个月的直播下来，我深切感受到直播是多么的辛苦，希望大家以后在抨击主播的时候，能够更多地设身处地，换位思考。这样才能领到峰哥的10000000-5优惠券！rua！,我的军团像bone7,21,直播了一个月了，看看我的成果
,机智的单车,21,你曾粉过下面哪些歌手
,812622537,22,简单粗暴，谁阴阳怪气独一档
尬不过拍这个怕是没了,k735312237,21,失落，但是宝宝坚强并不说
楼主好人一生平安,haly,13,如果婚后发现老婆是les 你会离婚吗
想起了那个开局一张图,zhhzh0123,21,如果婚后发现老婆是les 你会离婚吗
版主权限，正是版主权利的体现，发个小红花,yaoye0o,25,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
哭了哭了,epc,23,斗鱼这是在打压窝大枫皇？
这词是让人反感,hercMoray,22,为什么运营这个说法很蠢
赛老师倒是蛮喜欢用这个词的,huyucom,20,为什么运营这个说法很蠢
伐木伐木,神奇马列,23,有一说一，这个VGJ有点像11年的老dk啊
峰哥嘴里有jj吊味,伐木被反杀,23,566收到组队邀请：我和半仙掉水里，你救谁？
你不爱神，但神爱世人,沙漏~,22,pis到底能不能称得上p神
哭了哭了还有200块,johnjohnyo,22,直播了一个月了，看看我的成果
哭了哭了还有200块,hercMoray,22,直播了一个月了，看看我的成果
都是屎    ,少女的黑丝,15,你曾粉过下面哪些歌手
hello 老陈 杜一党,sspace,22,简单粗暴，谁阴阳怪气独一档
hello 老陈 杜一党,hercMoray,22,简单粗暴，谁阴阳怪气独一档
紧握社会主义铁拳 下一个砸的就是你,再见南音,21,失落，但是宝宝坚强并不说
紧握社会主义铁拳 下一个砸的就是你,洛弗卡雷,22,失落，但是宝宝坚强并不说
我他妈又不是傻逼～,贩妹小鱼,13,如果婚后发现老婆是les 你会离婚吗
我他妈又不是傻逼～,HMNNM,22,如果婚后发现老婆是les 你会离婚吗
版主权限，正是版主权利的体现，发个小红花,hercMoray,22,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
 妮的妮的,SAS_Brandy,14,就算我是吓唬人又如何
憋憋当年就是这样,spare,15,斗鱼这是在打压窝大枫皇？
运营不是撸狗解说讲的最多吗,eurus,14,为什么运营这个说法很蠢
 把未来十年的诺贝尔关了没问题吧,珺珺丶,15,这人能拿几个诺贝尔啊
伐木伐木,hercMoray,22,有一说一，这个VGJ有点像11年的老dk啊
你这么说 我觉得跟eg当年夺冠也一样  不过核心变为了中单苏跳跳,别开枪！是我！,20,有一说一，这个VGJ有点像11年的老dk啊
三个一起溺死,扭曲的温拿粉,14,566收到组队邀请：我和半仙掉水里，你救谁？
半仙含住峰哥的瘠薄 喊道：倚天 你要是救他 我就咬断他的瘠薄 让你守活寡,退役职业选手,22,566收到组队邀请：我和半仙掉水里，你救谁？
你不爱神，但神爱世人,扭曲的温拿粉,14,pis到底能不能称得上p神
你不爱神，但神爱世人,Nameless~,21,pis到底能不能称得上p神
,默默伐木三千八,23,傻狗女神，多图慎点
,超级小能猫,15,喜欢打魅惑魔女(小鹿)的水友进来一下？
感觉头文字D的作家心理有一点变态，剧里无论高富帅还是屌丝，异*恋的都没好下场,肥肥羊可爱,20,【头文字D前十请进】 你是池谷的话，你透不透真子？
哭了哭了还有200块,尘封你的笑,23,直播了一个月了，看看我的成果
哭了哭了还有200块,@0214,24,直播了一个月了，看看我的成果
哭了哭了还有200块,langrensoso,20,直播了一个月了，看看我的成果
都是什么JB,zhhzh0123,21,你曾粉过下面哪些歌手
都是屎   ,yxedward,23,你曾粉过下面哪些歌手
洗剪吹       ,阳台的内酷,24,你曾粉过下面哪些歌手
神仆不是阴阳怪气，神仆是怒刚,2hang7ong_,22,简单粗暴，谁阴阳怪气独一档
       ,扭曲的温拿粉,14,简单粗暴，谁阴阳怪气独一档
hello 老陈 杜一党,rva,15,简单粗暴，谁阴阳怪气独一档
这就有点意思了,Pis喜当爹,20,失落，但是宝宝坚强并不说
这是最后一次看到妮  ,微丶凉,25,失落，但是宝宝坚强并不说
我他妈又不是傻逼～双飞8分梦中都不敢想,小狮子头额,14,如果婚后发现老婆是les 你会离婚吗
我他妈又不是傻逼～,lxx1992,15,如果婚后发现老婆是les 你会离婚吗
我他妈又不是傻逼～,lionnerm,12,如果婚后发现老婆是les 你会离婚吗
进去吧你,xgxgx,15,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
版主权限，正是版主权利的体现，发个小红花,rva,15,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
我永远喜欢谢俊豪,mr_damn_,21,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
建议永丰,dreamidream,21,就算我是吓唬人又如何
wfnmdx,机智的瑞格石蹄,20,就算我是吓唬人又如何
不小心点进来，吓死我了,cmss,15,就算我是吓唬人又如何
石锤了 造谣无敌是威风八面工作室成员,gcwd,20,斗鱼这是在打压窝大枫皇？
面八抽奖了吧,丨红酒丶冰,24,斗鱼这是在打压窝大枫皇？
哭了哭了,我可以反杀,25,斗鱼这是在打压窝大枫皇？
职业选手解说基本不会提到这个东西，最早用的应该是火猫那几个解说,宇宙第一憋吹1,15,为什么运营这个说法很蠢
伐木伐木,神奇马列,23,为什么运营这个说法很蠢
车长老实名反对*奶梗,大拇指小司令,15,为什么运营这个说法很蠢
一年颁一千个诺贝尔奖并不够西恩的民科分,Meso,20,这人能拿几个诺贝尔啊
这尼玛 民科疯了吧,静观众妙,14,这人能拿几个诺贝尔啊
lz看下脚,epc,23,这人能拿几个诺贝尔啊
上线不足那是以前把把出怂b三件套的塞垃圾，圣剑不到换家基本都看不到，现在的塞垃圾龙骑输出装拉满，美杜莎3件套直接拉圣剑,Diekiller,22,有一说一，这个VGJ有点像11年的老dk啊
宝哥一巴掌拍你脸上,皮卡,20,有一说一，这个VGJ有点像11年的老dk啊
diekiller 发表于 2018-3-6 09:00上线不足那是以前把把出怂b三件套的塞垃圾，圣剑不到换家基本都看不到，现在的塞垃圾龙骑输出装拉满，美杜 ...现在攻击装太少了,sgsg1234,13,有一说一，这个VGJ有点像11年的老dk啊
峰哥嘴里有jj吊味,泉州老中医,22,566收到组队邀请：我和半仙掉水里，你救谁？
半仙含住峰哥的瘠薄 喊道：倚天 你要是救他 我就咬断他的瘠薄 让你守活寡,aqdevf,14,566收到组队邀请：我和半仙掉水里，你救谁？
你不爱神，但神爱世人,开大嘘锤子,21,pis到底能不能称得上p神
 你不爱神，但神爱世人,带盾带奶百分百,20,pis到底能不能称得上p神
你不爱神，但神爱世人,莱斯利爱burning,14,pis到底能不能称得上p神
你的你的,zhhzh0123,21,傻狗女神，多图慎点
没有女P我透NM,dogfe416,20,傻狗女神，多图慎点
。。。。。,zhhzh0123,21,喜欢打魅惑魔女(小鹿)的水友进来一下？
bbuh         ,贩鱼小鸽,22,喜欢打魅惑魔女(小鹿)的水友进来一下？
不透，赛车手是不需要女人的,扭曲的温拿粉,14,【头文字D前十请进】 你是池谷的话，你透不透真子？
不透，赛车手是不需要女人的,hercMoray,22,【头文字D前十请进】 你是池谷的话，你透不透真子？
哭了哭了还有200块,随便注册一个号,22,直播了一个月了，看看我的成果
直播间呢,sspace,22,直播了一个月了，看看我的成果
哭了哭了还有200块,ap0456,22,直播了一个月了，看看我的成果
都是屎,hercMoray,22,你曾粉过下面哪些歌手
都是屎   ,Jaskobe,15,你曾粉过下面哪些歌手
还tm不如听maybe,Morning_Glory,23,你曾粉过下面哪些歌手
分则能成vs混沌之军,大拇指小司令,15,简单粗暴，谁阴阳怪气独一档
hello 老陈 杜一党,尘封你的笑,23,简单粗暴，谁阴阳怪气独一档
神仆是用爱感化,驻马店指挥官,14,简单粗暴，谁阴阳怪气独一档
哈哈哈哈哈,aqdevf,14,失落，但是宝宝坚强并不说
紧握社会主义铁拳 下一个砸的就是你,灼眼夏娜,21,失落，但是宝宝坚强并不说
王鸥真的好他妈*感啊     所有选项都是当前年龄 藏得很深应该看不到,thunderak,21,残酷单选，你是刘恺威你选王鸥还是杨幂啪啪啪？
这条件tm明显就是为了和你3p假装les吧,kengtianxia,22,如果婚后发现老婆是les 你会离婚吗
选择离婚吗,地穴刺客杜蕾斯,24,如果婚后发现老婆是les 你会离婚吗
这条件tm明显就是为了和你3p假装les吧,BeBxu,22,如果婚后发现老婆是les 你会离婚吗
 进去吧你,荡漾,24,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
芳哥卧槽,a4626893,24,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
建议泳峰,eurus,14,就算我是吓唬人又如何
建议永丰          ,paxcb,21,就算我是吓唬人又如何
建议永丰,hercMoray,22,就算我是吓唬人又如何
这是真的，这不是梦,ayzzz,22,斗鱼这是在打压窝大枫皇？
还好还好哈,复制黏贴,22,斗鱼这是在打压窝大枫皇？
这是真的，这不是梦,雷泽之地,13,斗鱼这是在打压窝大枫皇？
确实是这个词让人反感,五蚜居士,24,为什么运营这个说法很蠢
dadiaoluoli 发表于 2018-3-5 22:35运营不是撸狗解说讲的最多吗运营肯定是SC这种游戏出来的啊 双方打着打着就开始无聊的镜像运营了 解说也说不来了什么 然后LOL发现自己也是这样的 打着打着俩边就开始补刀刷野了 但DOTA2真的好蠢这个词 ,犯贱猫,15,为什么运营这个说法很蠢
赛老师教学用语，一般解说不配说,喧哗上等,23,为什么运营这个说法很蠢
嗯，能拿诺贝尔数学奖,hercMoray,22,这人能拿几个诺贝尔啊
嗯，能拿诺贝尔数学奖,kubixbgo,15,这人能拿几个诺贝尔啊
厉害了 我的哥,z6931422,15,这人能拿几个诺贝尔啊
说阿畅低调做人杰尼龟就不高兴了,tudoupi,23,有一说一，这个VGJ有点像11年的老dk啊
团结的队伍是比较容易出成绩啊，相信队友,月不月,23,有一说一，这个VGJ有点像11年的老dk啊
中单肉核放养到不至于，现在是劣单给皮鞋拿大屁股全能，双酱油主打另外两路。VGJ已经认清了废物皮孩的本质，不要你带节奏，不要你骑对面脸，你拿个能出团队装的少死几次混一下就行,泡脚凤爪,14,有一说一，这个VGJ有点像11年的老dk啊
三个一起溺死,尘封你的笑,23,566收到组队邀请：我和半仙掉水里，你救谁？
 峰哥嘴里有jj吊味,来讲道理,21,566收到组队邀请：我和半仙掉水里，你救谁？
峰哥嘴里有jj吊味,hercMoray,22,566收到组队邀请：我和半仙掉水里，你救谁？
你不爱神，但神爱世人,acielaw,14,pis到底能不能称得上p神
你不爱神，但神爱世人,小核桃,22,pis到底能不能称得上p神
,机智的单车,21,8分纹身抽烟女 和 4分乖乖女 你选哪个
 看刚刚那位介绍6.5分小**的，本屌丝有话说了，我还没你174高就172左右，长相也就2，3分。但是上一个在火车站认识不到一个小时的8分女生聊天记录或许这就是车手的魅力吧,藤原拓海,14,傻狗们，跟女孩聊天真的难吗?
这个怎么说,CHARMdota,26,透过之后还会撸吗？
猪妖这种恶心的货也有人要，我真是服了傻狗了,大拇指小司令,15,傻狗女神，多图慎点
你的水鬼酱呢,再见南音,21,傻狗女神，多图慎点
骷髅王这个力度不够呀,五蚜居士,24,傻狗女神，多图慎点
你的你的,Pis喜当爹,20,喜欢打魅惑魔女(小鹿)的水友进来一下？
.............,会诈降的董卓,13,喜欢打魅惑魔女(小鹿)的水友进来一下？
我的我的,Penomenon,23,喜欢打魅惑魔女(小鹿)的水友进来一下？
不透，赛车手是不需要女人的,尘封你的笑,23,【头文字D前十请进】 你是池谷的话，你透不透真子？
不透，赛车手是不需要女人的,OHCCHO,22,【头文字D前十请进】 你是池谷的话，你透不透真子？
哭了哭了还有200块,3141592653,23,直播了一个月了，看看我的成果
哭了哭了还有200块,zhangtian199,12,直播了一个月了，看看我的成果
这没有通道选项选nm啊,ID随便起,13,你曾粉过下面哪些歌手
都是屎   ,五蚜居士,24,你曾粉过下面哪些歌手
不能全选我投你妈,200910821@qq.co,13,你曾粉过下面哪些歌手
神仆历史地位最低贴,帅是天生的。,14,简单粗暴，谁阴阳怪气独一档
hello 老陈 杜一党,ANDYYYY,14,简单粗暴，谁阴阳怪气独一档
有没有周海洋选项，皮鞋直播阴阳怪气的嘲讽，音调变得不阴不阳的，和太监一样，简直绝了,刀刀sama,15,简单粗暴，谁阴阳怪气独一档
 紧握社会主义铁拳 下一个砸的就是你,41651321321,14,失落，但是宝宝坚强并不说
qiang毙名单有了,扭曲的温拿粉,14,失落，但是宝宝坚强并不说
 三月份qiang毙名单有了,就爱xixi,14,失落，但是宝宝坚强并不说
炮决名单+1,Morning_Glory,23,残酷单选，你是刘恺威你选王鸥还是杨幂啪啪啪？
炮决名单+1,mr_damn_,21,残酷单选，你是刘恺威你选王鸥还是杨幂啪啪啪？
你个burden没图我怎么选，好多不认识的,littlechick,15,残酷单选，你是刘恺威你选王鸥还是杨幂啪啪啪？
然后你老婆还有10个les 7分炮友 。你老婆的女朋友她有6个8分les炮友。,野韭菜花,14,如果婚后发现老婆是les 你会离婚吗
那么哪里才能娶的到呢,撸啊撸就射了,20,如果婚后发现老婆是les 你会离婚吗
 我永远喜欢谢俊豪,扭曲的温拿粉,14,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
 版主权限，正是版主权利的体现，发个小红花 (,justinzj,22,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
版主权限，正是版主权利的体现，发个小红花,johnjohnyo,22,窝觉得，sg有针对傻狗的版规，却没有对版主的版规，不公平
吓死我了，兄弟啊,有理实复,14,就算我是吓唬人又如何
用户名               操作行为        过期时间                 操作时间        操作理由SAS_Brandy        禁止发言        永不过期                 1分钟前        图片引起不适        ,君豪铁粉,15,就算我是吓唬人又如何
建议永丰         ,灼眼夏娜,21,就算我是吓唬人又如何
这是真的，这不是梦,cxzdgg,22,斗鱼这是在打压窝大枫皇？
这是真的，这不是梦,notailll,14,斗鱼这是在打压窝大枫皇？
不抽奖   窝峰哥大概卜打boom下面先生,刀塔救世主峰哥,12,斗鱼这是在打压窝大枫皇？
赛老师教学用语，一般解说不配说,再见南音,21,为什么运营这个说法很蠢
道理是这么个道理，带线就是带线，鳖就是鳖。,田多宇光,14,为什么运营这个说法很蠢
第十四章第二节好想看一下喏,超级一大坨,24,这人能拿几个诺贝尔啊
嗯，能拿诺贝尔数学奖,haly,13,这人能拿几个诺贝尔啊
活多久拿多久吧。,゛¨вēst.,20,这人能拿几个诺贝尔啊
上线不足那是以前把把出怂b三件套的塞垃圾，圣剑不到换家基本都看不到，现在的塞垃圾龙骑输出装拉满，美杜莎3件套直接拉圣剑,Erepyon,22,有一说一，这个VGJ有点像11年的老dk啊
盖狗所有私房钱加起来估计买不起生日蛋糕。,chenyuyi,21,有一说一，这个VGJ有点像11年的老dk啊
峰哥嘴里有jj吊味,关山难越,15,566收到组队邀请：我和半仙掉水里，你救谁？
峰哥嘴里有jj吊味,MervYn1976,21,566收到组队邀请：我和半仙掉水里，你救谁？
 峰哥嘴里有jj吊味,带盾带奶百分百,20,566收到组队邀请：我和半仙掉水里，你救谁？
妮不爱神，但神爱世人,cmss,15,pis到底能不能称得上p神
"Don't talk, the man doesn't like",n十六夜咲夜,24,pis到底能不能称得上p神
你不爱神，但神爱世人,mikuvivid,14,pis到底能不能称得上p神
您已经投过票，谢谢您的参与,baizhihan,15,8分纹身抽烟女 和 4分乖乖女 你选哪个
我是老实人，没得选,saltAugust,21,8分纹身抽烟女 和 4分乖乖女 你选哪个
花臂小且且破费，其他的就算了,MervYn1976,21,8分纹身抽烟女 和 4分乖乖女 你选哪个
学生好聊天而已，你去找个工作了的八分小**聊一哈。如果太丑太没趣基本上都是回答你oooo,BitterMan,12,傻狗们，跟女孩聊天真的难吗?
猴子*笑，妮的名字代表一切,cc的sg,22,傻狗们，跟女孩聊天真的难吗?
透是关乎权利，而撸只关乎*,幽灵幽灵,12,透过之后还会撸吗？
 透是关乎权利，而撸只关乎*,来讲道理,21,透过之后还会撸吗？
透是关乎权利，而撸只关乎*,hercMoray,22,透过之后还会撸吗？
你的你的,扭曲的温拿粉,14,傻狗女神，多图慎点
我最爱得PIS和戏精陈呢？我全都要,ANDYYYY,14,傻狗女神，多图慎点
你的你的,hercMoray,22,傻狗女神，多图慎点
你的你的,小狮子头额,14,喜欢打魅惑魔女(小鹿)的水友进来一下？
我的我的,hercMoray,22,喜欢打魅惑魔女(小鹿)的水友进来一下？
怎么感觉这么恶呢,KTI4,20,喜欢打魅惑魔女(小鹿)的水友进来一下？
就让我拓海来说说吧，池谷太屌丝了啊,藤原拓海,14,【头文字D前十请进】 你是池谷的话，你透不透真子？
剧里无论高富帅还是屌丝，异*恋的都没好下场,天津裴勇俊,13,【头文字D前十请进】 你是池谷的话，你透不透真子？
不透，赛车手是不需要女人的,lizi0121,21,【头文字D前十请进】 你是池谷的话，你透不透真子？
 再过10年，这些地价值多少呀,whats,22,古天乐在内陆建了这些学校，是不是等于买了一大片地？
,关山难越,15,566代练和奶子D开挂哪个*质更恶劣？
入过r20，对子哈特系列就是个辣鸡现在正在用exe，效果拔群还便宜下一步想入npg 003 或者 直接上大魔王vs等把手头上这个cha烂了就换好吧ps：我还买过一个jian kao，懂得都懂好吧这一段小点声偷偷说，不要传出去，打qiang的不要,MervYn1976,21,说到飞机杯，窝声音就很大了
 哭了哭了还有200块,Apyrite,24,直播了一个月了，看看我的成果
你有每天都直播吗,Apyrite,24,直播了一个月了，看看我的成果
QQ音乐三巨头还行,Penomenon,23,你曾粉过下面哪些歌手
三高只是唱功不行吧，写的词曲说实话还是有点东西的啊。其他的嘛。。薛皇没怎么听过不评价，剩下的都感觉不行。,浅浅、,21,你曾粉过下面哪些歌手
hello 老陈 杜一党,392,14,简单粗暴，谁阴阳怪气独一档
神仆一身正气,TONGKKKK,21,简单粗暴，谁阴阳怪气独一档
hello 老陈 杜一党,cxzdgg,22,简单粗暴，谁阴阳怪气独一档
紧握社会主义铁拳 下一个砸的就是你,hercMoray,22,失落，但是宝宝坚强并不说
加急，楼上都加急,三万希婆一秒躺,21,失落，但是宝宝坚强并不说
